Vehicle_Cost,Num_Vehicles,Total_Distance,Objective_Value,Runtime_s
-100,15,686.0,-814.0,0.01
-50,12,480.0,-120.0,0.01
0,2,142.0,142.0,0.01
10,2,142.0,162.0,0.01
20,2,142.0,182.0,0.01
50,2,142.0,242.0,0.01
100,2,142.0,342.0,0.01
