Vehicle_Cost,Num_Vehicles,Total_Distance,Objective_Value,Runtime_s
-100,20,1000.0,-1000.0,0.01
-50,13,514.0,-136.0,0.01
0,3,176.0,176.0,0.01
10,3,176.0,206.0,0.01
20,3,176.0,236.0,0.01
50,3,176.0,326.0,0.01
100,3,176.0,476.0,0.01
