Vehicle_Cost,Num_Vehicles,Total_Distance,Objective_Value,Runtime_s
-100,5,178.0,-322.0,0.0
-50,5,178.0,-72.0,0.0
0,1,43.0,43.0,0.0
10,1,43.0,53.0,0.0
20,1,43.0,63.0,0.0
50,1,43.0,93.0,0.0
100,1,43.0,143.0,0.0
