Window_Factor,Num_Vehicles,Total_Distance,Objective_Value,Runtime_s,Status
0.25,6,299.0,299.0,0.01,Feasible
0.5,5,270.0,270.0,0.03,Feasible
0.75,3,192.0,192.0,0.01,Feasible
1.0,3,192.0,192.0,0.02,Feasible
1.25,3,192.0,192.0,0.01,Feasible
1.5,3,192.0,192.0,0.04,Feasible
2.0,3,192.0,192.0,0.02,Feasible
3.0,3,192.0,192.0,0.07,Feasible
4.0,3,192.0,192.0,0.26,Feasible
5.0,3,192.0,192.0,0.74,Feasible
