Customers,Formulation,Status,Time_s,Objective
5,DFJ Improve,Optimal,0.01,43.0
10,DFJ Improve,Optimal,0.0,56.0
15,DFJ Improve,Optimal,0.0,102.0
20,DFJ Improve,Optimal,0.01,124.0
25,DFJ Improve,Optimal,0.01,133.0
