Customers,Formulation,Status,Time_s,Objective
5,MTZ,Optimal,0.04,43.0
10,MTZ,Optimal,0.02,56.0
15,MTZ,Optimal,0.26,102.0
20,MTZ,Time Limit,600.05,124.0
25,MTZ,Optimal,56.89,133.0
