Vehicle_Cost,Num_Vehicles,Total_Distance,Objective_Value,Runtime_s
-100,25,1130.0,-1370.0,0.01
-50,18,644.0,-256.0,0.01
0,3,192.0,192.0,0.01
10,3,192.0,222.0,0.01
20,3,192.0,252.0,0.01
50,3,192.0,342.0,0.01
100,3,192.0,492.0,0.01
