Vehicle_Cost,Num_Vehicles,Total_Distance,Objective_Value,Runtime_s
-200,5,178.0,-822.0,0.0
-500,5,178.0,-2322.0,0.0
-1000,5,178.0,-4822.0,0.0
20,1,43.0,63.0,0.0
50,1,43.0,93.0,0.0
200,1,43.0,243.0,0.0
300,1,43.0,343.0,0.0
500,1,43.0,543.0,0.0
2000000,1,43.0,2000043.0,0.0
