Vehicle_Cost,Num_Vehicles,Total_Distance,Objective_Value,Runtime_s
-200,15,686.0,-2314.0,0.01
-500,15,686.0,-6814.0,0.01
-1000,15,686.0,-14314.0,0.01
20,2,142.0,182.0,0.01
50,2,142.0,242.0,0.01
200,2,142.0,542.0,0.0
300,2,142.0,742.0,0.01
500,2,142.0,1142.0,0.01
2000000,2,142.0,4000142.0,0.01
