Vehicle_Cost,Num_Vehicles,Total_Distance,Objective_Value,Runtime_s
-200,25,1130.0,-3870.0,0.01
-500,25,1130.0,-11370.0,0.01
-1000,25,1130.0,-23870.0,0.01
20,3,192.0,252.0,0.01
50,3,192.0,342.0,0.01
200,3,192.0,792.0,0.01
300,3,192.0,1092.0,0.01
500,3,192.0,1692.0,0.01
2000000,3,192.0,6000192.0,0.01
