Vehicle_Cost,Num_Vehicles,Total_Distance,Objective_Value,Runtime_s
-200,20,1000.0,-3000.0,0.01
-500,20,1000.0,-9000.0,0.01
-1000,20,1000.0,-19000.0,3.21
20,3,176.0,236.0,0.01
50,3,176.0,326.0,0.01
200,3,176.0,776.0,0.01
300,3,176.0,1076.0,0.01
500,3,176.0,1676.0,0.01
2000000,3,176.0,6000176.0,0.01
