Vehicle_Cost,Num_Vehicles,Total_Distance,Objective_Value,Runtime_s
-200,10,358.0,-1642.0,0.0
-500,10,358.0,-4642.0,0.0
-1000,10,358.0,-9642.0,0.0
20,1,59.0,79.0,0.0
50,1,59.0,109.0,0.0
200,1,59.0,259.0,0.0
300,1,59.0,359.0,0.0
500,1,59.0,559.0,0.0
2000000,1,59.0,2000059.0,0.0
