Customers,Formulation,Status,Time_s,Objective,Distance,Num_Vehicles,Vehicle_Cost
5,VRPTW_MTZ,Optimal,0.0,43.0,43.0,1,0
10,VRPTW_MTZ,Optimal,0.0,59.0,59.0,1,0
15,VRPTW_MTZ,Optimal,0.01,142.0,142.0,2,0
20,VRPTW_MTZ,Optimal,0.01,176.0,176.0,3,0
25,VRPTW_MTZ,Optimal,0.01,192.0,192.0,3,0
