Window_Factor,Num_Vehicles,Total_Distance,Objective_Value,Runtime_s,Status
0.5,2,86.0,86.0,0.01,Feasible
0.75,1,59.0,59.0,0.0,Feasible
1.0,1,59.0,59.0,0.0,Feasible
1.25,1,59.0,59.0,0.0,Feasible
1.5,1,59.0,59.0,0.0,Feasible
2.0,1,59.0,59.0,0.0,Feasible
